artist_name_studio,artist_id
Donna Summer,163
Jackson Browne,275
Guy Sebastian,242
The Fabulous Thunderbirds,650
Green Day,240
Bad Boys Blue,39
Loverboy,391
Racey,507
Steve Gibbons Band,589
Spin Doctors,575
Stephen Bishop,584
LP,356
Mink DeVille,428
The Drifters,646
Bobby Vinton,74
Tony Sheridan,724
Herman Brood,252
Al Stewart,14
Kimbra,345
George Michael,226
Brian Auger,84
Bay City Rollers,46
The Easybeats,647
Pink Lady,497
Dick Hyman,154
Five For Fighting,204
Alice Cooper,18
Jane Birkin,281
REO Speedwagon,506
Skid Row,564
The Who,708
The Civil Wars,636
Elastica,177
Greg Lake,241
Passenger,476
Stone Sour,592
Tenacious D,617
Shinedown,557
Steps,587
Heart,248
Wale,749
Garland Jeffreys,218
Soul Asylum,573
The Used,701
Floater,207
Seal,550
Simple Plan,562
Korn,350
Savage Garden,546
ZZ Top,766
Adam Lambert,5
Lulu,392
Pat Boone,477
Josh Groban,328
David Gray,145
Christopher Cross,111
Melissa Etheridge,417
Sade,541
Honeymoon Suite,256
Train,728
INXS,261
Fairground Attraction,197
Face To Face,196
Mat Kearney,410
Alanis Morissette,17
The Cars,632
Meat Loaf,414
Firehouse,203
Blue October,67
Metallica,420
David Crosby,142
Dokken,160
Vance Joy,742
Kingdom Come,348
The Church,635
"Blood, Sweat & Tears",65
Asia,34
Kenny Loggins,341
Thin Lizzy,714
Dishwalla,158
Alice In Chains,19
Muse,444
Joe Jackson,307
Bonnie Raitt,77
The Surfaris,696
Young the Giant,765
David Gilmour,144
Iron Butterfly,270
Shooting Star,559
The Verve Pipe,704
Midnight Oil,427
Hoyt Axton,259
Tom Tom Club,720
Faith No More,198
Hole,255
Maggie Bell,399
Off Broadway,467
Meat Puppets,415
Mumford & Sons,443
Joan Armatrading,304
Genya Ravan,223
The Fratellis,655
Eddie Money,174
Everlast,193
Aerosmith,8
Chris Isaak,108
The J. Geils Band,664
Jimmy Buffett,300
Tina Turner,717
La Toya Jackson,357
Freedy Johnston,214
Krokus,353
Jack Ingram,274
Ozzy Osbourne,474
Simple Minds,561
Kid Rock,343
Molly Hatchet,434
Ben Rector,48
Michael McDonald,421
Kelly Clarkson,337
Usher,739
Tori Amos,725
Sheryl Crow,556
Bob Welch,72
Ambrosia,23
Bob Weir,71
Gwar,243
