track_key,difference_energy,difference_tempo,difference_speechiness,difference_dance,difference_instrumentalness,difference_valence,difference_acousticness
3ITGICyYHC13EkB7efdr8K4z0PRznM5XOxH2wJaNf2Fb,0.161,-10.271,0.0425,-0.269,-0.0382,-0.431,0.0124
3ITGICyYHC13EkB7efdr8K3ifsZuJFCAvhmkU9BlxvAb,0.147,-9.75,0.0193,-0.161,0.1534,-0.246,0.0369
3ITGICyYHC13EkB7efdr8K0rXUxazqdzQBihx0HuxP3N,0.221,-5.25,0.0981,-0.172,-0.0358,-0.574,-0.0015
3ITGICyYHC13EkB7efdr8K5WtXRCo7dJmAhg18vtyBao,0.131,-3.98,0.0199,-0.184,-0.032,-0.362,0.008
7mEpDcfUnwVFzwamDGbGak2pjQsVltj5FGpLLnWwmsgi,-0.066,-67.172,-0.0379,-0.132,0.0621,-0.163,0.0254
7mEpDcfUnwVFzwamDGbGak7JmQmv9FeITj4CqMaSJ3IK,0.062,18.928,0.0064,-0.109,0.1893,-0.212,0.0052
7mEpDcfUnwVFzwamDGbGak0CNKAEiwRpFQYPMWuAmnXl,0.013,13.651,-0.0371,-0.082,-0.0015,-0.393,-0.0096
7mEpDcfUnwVFzwamDGbGak6W7iD9YoMt0gJyozm00zM0,0.006,13.268,-0.0235,-0.036,0.0138,-0.249,-0.0139
0ldG7AfVB6jNZ54BNhLGv97up1elOvZ5AcFCeGJAsCCl,0.23,20.996,0.0105,-0.363,0.2387,-0.371,0.0679
0sS55xTfxdlmXo8e3BeOHp7up1elOvZ5AcFCeGJAsCCl,0.259,21.01,0.0101,-0.365,0.2388,-0.363,0.0691
0fMncrOjUCfR3nsd2hgF1I26TiUA8SmaIuy9tZoXMdoU,0.084,7.103,0.0157,0.042,0.0005,-0.104,0.0113
4hy5ZYFwclYcqoftltB3Mo7bNbygy8yV2iVAoGqWe0PZ,-0.028,-1.886,0.0251,0.078,0.079,0.427,-0.024
4hy5ZYFwclYcqoftltB3Mo73Pyb9B2gMBZ432RssXxox,0.236,-16.613,0.0014,0.047,-0.345,0.276,-0.7561
4hy5ZYFwclYcqoftltB3Mo6Uhku5llds1ay9dTKJ1tbL,0.156,-4.348,0.0197,0.099,-0.301,0.31,-0.222
4hy5ZYFwclYcqoftltB3Mo4Z46Pzg4gnTRzM1HUnPvnO,0.095,2.934,0.0026,0.07,-0.4129,0.311,-0.118
4hy5ZYFwclYcqoftltB3Mo0cng2rLICg9elXKnrysdi1,0.239,5.674,0.0307,0.043,-0.334,0.258,-0.312
4hy5ZYFwclYcqoftltB3Mo5PiRo8dDfARTxzkeonsm8O,0.217,-2.764,0.0087,0.152,-0.4596,0.239,-0.233
4hy5ZYFwclYcqoftltB3Mo2oUVai8kSQ2FzitFq4xk9w,0.233,-2.472,0.0167,0.009,-0.321,0.124,-0.238
4hy5ZYFwclYcqoftltB3Mo0Ljdkd9EEares3HruMtB63,0.239,-0.44,0.0265,0.139,-0.4361,0.252,-0.557
4hy5ZYFwclYcqoftltB3Mo7fgWlMQLXUjiWR9piCa7wR,0.249,-2.519,0.0353,0.0,-0.4607,-0.047,-0.7861
4hy5ZYFwclYcqoftltB3Mo5wmXnGuHLzUCcTqNJ2L6Ij,0.049,-3.352,0.0169,0.182,-0.329,0.365,-0.165
4hy5ZYFwclYcqoftltB3Mo2CqYXWVqGkRlqaBJNqK2yJ,-0.086,-4.237,0.0017,0.079,0.355,0.122,-0.065
5VsnTF82gYUCL45RAIiZ2b4BVX9qqLlrKxmFtyGfevIN,0.0531,-3.294,-0.0017,-0.037,0.0057,0.0723,-0.162
7AIdBDNB9bkZZyeqFntox477PyTrCIjF3yz7UUeN6HxO,-0.391,-2.372,-0.1046,0.034,0.0244,0.057,0.251
7AIdBDNB9bkZZyeqFntox404IwOk6smNlLWoVNuaz1bS,-0.321,-4.092,-0.0927,0.035,0.0176,0.034,0.316
7AIdBDNB9bkZZyeqFntox40RFVgwqpwgxf3gaXy1siQq,-0.115,84.401,-0.0591,0.075,0.0023,0.095,0.094
6p3iGqLGUxFES79KULUzFm7mHxpXWwd3FhZCKqkP3fbF,0.117,6.468,0.058,-0.08,-0.0031,0.258,-0.407
0qgYfRBF5mSCPOdHdgus667mHxpXWwd3FhZCKqkP3fbF,0.218,7.015,0.0563,-0.05,-0.0002,0.215,-0.509
4XHNjBFbhwR2bPifJjzlW17DQ2qWneuA4BnllCvei4Nf,0.199,94.505,0.128,-0.245,-0.0133,-0.054,-0.45
3EWH4EEPmhehUcgduqg63B6gASAIQA5gPVxYAnMEwldI,0.305,20.379,-0.01,0.133,-0.146,-0.124,-0.6133
0Fnb2pfBfu0ka33d6Yki171bsyJmIrgFIIYzbZIYZ7Cr,0.559,16.8,0.3537,-0.257,0.0,-0.374,-0.376
0Fnb2pfBfu0ka33d6Yki171z56u8TDvHTB6rA9aQSQvM,0.216,8.425,0.017,-0.119,0.022,-0.018,-0.4716
0Fnb2pfBfu0ka33d6Yki177ISP5Y8A11ihQWTU3McSV7,0.52,5.242,0.0138,-0.069,0.229,-0.159,-0.074
3omICRAy4lbI0oFiiXHtqD2MEDcIiuVYHz0mBKGXHxXZ,0.202,7.213,0.0164,-0.08,1.64e-06,0.079,-0.407
3d5cojYmcovBsBIRCvApyJ1nORzWVM2fxFJjzFjeN7Pw,0.517,15.287,0.0245,-0.348,-0.0006,-0.418,-0.1734
3d5cojYmcovBsBIRCvApyJ63d4fILQK6aTZU478XwY2S,0.477,8.42,-0.0458,-0.267,-0.0019,-0.212,-0.1605
21YSagcmCqR28GV8NxBMHc4c11wlavT3E8z1PpdBM6C6,0.082,13.855,-0.0777,-0.306,0.0281,-0.359,-0.1613
5fMmODpsFk4r6qKluqoFL32JiOcim43C1TyVEQ8fxA1y,-0.004,3.277,-0.0165,0.053,0.0,-0.112,-0.243
5fMmODpsFk4r6qKluqoFL34OKwF5Rg6Jm2DxU9SvnNab,-0.1777,28.345,-0.0136,0.211,0.0,-0.058,0.027
5fMmODpsFk4r6qKluqoFL350PTO0IyRBiAmCCDeHMJr6,0.091,-9.389,-0.0068,-0.063,5.43e-06,-0.1912,0.081
5fMmODpsFk4r6qKluqoFL3141bmLCUvmbQMuHiWg9Nnd,-0.033,42.49,0.0026,0.143,0.0,0.263,-0.11
5PcKkPstgU1CDbijA2zZrV6rKGKCa25XLsceNp7gGd7t,0.148,-0.501,0.0567,-0.119,-0.0021,-0.327,0.0571
5PcKkPstgU1CDbijA2zZrV1iXxhUOHD8qIWH6ik5jCN6,0.135,3.519,0.0711,-0.175,-0.002,-0.043,0.0765
5PcKkPstgU1CDbijA2zZrV55AbjCsS1vxaSCCd6MtpEA,0.149,-0.495,0.0691,-0.118,-0.0021,-0.322,0.0539
5RgzfIJ4t4g5VEQwm3JlSq6rKGKCa25XLsceNp7gGd7t,0.148,-0.501,0.0567,-0.119,-0.0021,-0.327,0.0571
